number,detailed_number,name,form_name,form_category,category,type_1,type_2,hgt_ft,hgt_m,wgt_lbs,wgt_kg,bmi,gen,hp,attack,defense,sp_atk,sp_def,speed,total,evolves_to,evo_family,stage
33,33,Nidorino,,,,Poison,,2.917,0.9,43,19.5,24.1,1,61,72,57,55,55,65,365,34,32,2
34,34,Nidoking,,,,Poison,Ground,4.583,1.4,136.7,62,31.6,1,81,102,77,85,75,85,505,,32,3
35,35,Clefairy,,,,Fairy,,2,0.6,16.5,7.5,20.8,1,70,45,48,60,65,35,323,36,35,2
36,36,Clefable,,,,Fairy,,4.25,1.3,88.2,40,23.7,1,95,70,73,95,90,60,483,,35,3
37,37,Vulpix,,,,Fire,,2,0.6,21.8,9.9,27.5,1,38,41,40,50,65,65,299,38,37,1
37,37.1,Vulpix,Alolan Vulpix,Regional,,Ice,,2,0.6,21.8,9.9,27.5,7,38,41,40,50,65,65,299,38.1,37.1,1
38,38,Ninetales,,,,Fire,,3.583,1.1,43.9,19.9,16.4,1,73,76,75,81,100,100,505,,37,2
38,38.1,Ninetales,Alolan Ninetales,Regional,,Ice,Fairy,3.583,1.1,43.9,19.9,16.4,7,73,67,75,81,100,109,505,,37.1,2
39,39,Jigglypuff,,,,Normal,Fairy,1.667,0.5,12.1,5.5,22,1,115,45,20,45,25,20,270,40,39,2
40,40,Wigglytuff,,,,Normal,Fairy,3.25,1,26.5,12,12,1,140,70,45,85,50,45,435,,39,3
41,41,Zubat,,,,Poison,Flying,2.583,0.8,16.5,7.5,11.7,1,40,45,35,30,40,55,245,42,41,1
42,42,Golbat,,,,Poison,Flying,5.25,1.6,121.3,55,21.5,1,75,80,70,65,75,90,455,169,41,2
43,43,Oddish,,,,Grass,Poison,1.667,0.5,11.9,5.4,21.6,1,45,50,55,75,65,30,320,44,43,1
44,44,Gloom,,,,Grass,Poison,2.583,0.8,19,8.6,13.4,1,60,65,70,85,75,40,395,"45,182",43,2
45,45,Vileplume,,,,Grass,Poison,3.917,1.2,41,18.6,12.9,1,75,80,85,110,90,50,490,,43,3
46,46,Paras,,,,Bug,Grass,1,0.3,11.9,5.4,60,1,35,70,55,45,55,25,285,47,46,1
47,47,Parasect,,,,Bug,Grass,3.25,1,65,29.5,29.5,1,60,95,80,60,80,30,405,,46,2
48,48,Venonat,,,,Bug,Poison,3.25,1,66.1,30,30,1,60,55,50,40,55,45,305,49,48,1
49,49,Venomoth,,,,Bug,Poison,4.917,1.5,27.6,12.5,5.6,1,70,65,60,90,75,90,450,,48,2
50,50,Diglett,,,,Ground,,0.667,0.2,1.8,0.8,20,1,10,55,25,35,45,95,265,51,50,1
50,50.1,Diglett,Alolan Diglett,Regional,,Ground,Steel,0.667,0.2,2.2,1,25,7,10,55,30,35,45,90,265,51.1,50.1,1
51,51,Dugtrio,,,,Ground,,2.333,0.7,73.4,33.3,68,1,35,100,50,50,70,120,425,,50,2
51,51.1,Dugtrio,Alolan Dugtrio,Regional,,Ground,Steel,2.333,0.7,146.8,66.6,135.9,7,35,100,60,50,70,110,425,,50.1,2
52,52,Meowth,,,,Normal,,1.333,0.4,9.3,4.2,26.3,1,40,45,35,40,40,90,290,53,52,1
52,52.1,Meowth,Alolan Meowth,Regional,,Dark,,1.333,0.4,9.3,4.2,26.3,7,40,35,35,50,40,90,290,53.1,52.1,1
52,52.2,Meowth,Galarian Meowth,Regional,,Steel,,1.333,0.4,16.5,7.5,46.9,8,50,65,55,40,40,40,290,863,52.3,1
53,53,Persian,,,,Normal,,3.25,1,70.5,32,32,1,65,70,60,65,65,115,440,,52,2
53,53.1,Persian,Alolan Persian,Regional,,Dark,,3.583,1.1,72.8,33,27.3,7,65,60,60,75,65,115,440,,52.1,2
54,54,Psyduck,,,,Water,,2.583,0.8,43.2,19.6,30.6,1,50,52,48,65,50,55,320,55,54,1
55,55,Golduck,,,,Water,,5.583,1.7,168.9,76.6,26.5,1,80,82,78,95,80,85,500,,54,2
56,56,Mankey,,,,Fighting,,1.667,0.5,61.7,28,112,1,40,80,35,35,45,70,305,57,56,1
57,57,Primeape,,,,Fighting,,3.25,1,70.5,32,32,1,65,105,60,60,70,95,455,979,56,2
58,58,Growlithe,,,,Fire,,2.333,0.7,41.9,19,38.8,1,55,70,45,70,50,60,350,59,58,1
58,58.1,Growlithe,Hisuian Growlithe,Regional,,Fire,Rock,2.583,0.8,50,22.7,35.5,8,60,75,45,65,50,55,350,59.1,58.1,1
59,59,Arcanine,,,,Fire,,6.25,1.9,341.7,155,42.9,1,90,110,80,100,80,95,555,,58,2
59,59.1,Arcanine,Hisuian Arcanine,Regional,,Fire,Rock,6.583,2,370.4,168,42,8,95,115,80,95,80,90,555,,58.1,2
60,60,Poliwag,,,,Water,,2,0.6,27.3,12.4,34.4,1,40,50,40,40,40,90,300,61,60,1
61,61,Poliwhirl,,,,Water,,3.25,1,44.1,20,20,1,65,65,65,50,50,90,385,"62,186",60,2
62,62,Poliwrath,,,,Water,Fighting,4.25,1.3,119,54,32,1,90,95,95,70,90,70,510,,60,3
63,63,Abra,,,,Psychic,,2.917,0.9,43,19.5,24.1,1,25,20,15,105,55,90,310,64,63,1
64,64,Kadabra,,,,Psychic,,4.25,1.3,124.6,56.5,33.4,1,40,35,30,120,70,105,400,65,63,2
65,65,Alakazam,,,,Psychic,,4.917,1.5,105.8,48,21.3,1,55,50,45,135,95,120,500,,63,3
65,65.1,Alakazam,Mega Alakazam,Mega,Mega,Psychic,,3.917,1.2,105.8,48,33.3,6,55,50,65,175,105,150,600,,63,4
66,66,Machop,,,,Fighting,,2.583,0.8,43,19.5,30.5,1,70,80,50,35,35,35,305,67,66,1
67,67,Machoke,,,,Fighting,,4.917,1.5,155.4,70.5,31.3,1,80,100,70,50,60,45,405,68,66,2
68,68,Machamp,,,,Fighting,,5.25,1.6,286.6,130,50.8,1,90,130,80,65,85,55,505,,66,3
69,69,Bellsprout,,,,Grass,Poison,2.333,0.7,8.8,4,8.2,1,50,75,35,70,30,40,300,70,69,1
70,70,Weepinbell,,,,Grass,Poison,3.25,1,14.1,6.4,6.4,1,65,90,50,85,45,55,390,71,69,2
71,71,Victreebel,,,,Grass,Poison,5.583,1.7,34.2,15.5,5.4,1,80,105,65,100,70,70,490,,69,3
72,72,Tentacool,,,,Water,Poison,2.917,0.9,100.3,45.5,56.2,1,40,40,35,50,100,70,335,73,72,1
73,73,Tentacruel,,,,Water,Poison,5.25,1.6,121.3,55,21.5,1,80,70,65,80,120,100,515,,72,2
74,74,Geodude,,,,Rock,Ground,1.333,0.4,44.1,20,125,1,40,80,100,30,30,20,300,75,74,1
74,74.1,Geodude,Alolan Geodude,Regional,,Rock,Electric,1.333,0.4,44.8,20.3,126.9,7,40,80,100,30,30,20,300,75.1,74.1,1
75,75,Graveler,,,,Rock,Ground,3.25,1,231.5,105,105,1,55,95,115,45,45,35,390,76,74,2
75,75.1,Graveler,Alolan Graveler,Regional,,Rock,Electric,3.25,1,242.5,110,110,7,55,95,115,45,45,35,390,76.1,74.1,2
76,76,Golem,,,,Rock,Ground,4.583,1.4,661.4,300,153.1,1,80,120,130,55,65,45,495,,74,3
76,76.1,Golem,Alolan Golem,Regional,,Rock,Electric,5.583,1.7,696.7,316,109.3,7,80,120,130,55,65,45,495,,74.1,3
77,77,Ponyta,,,,Fire,,3.25,1,66.1,30,30,1,50,85,55,65,65,90,410,78,77,1
77,77.1,Ponyta,Galarian Ponyta,Regional,,Psychic,,2.583,0.8,52.9,24,37.5,8,50,85,55,65,65,90,410,78.1,77.1,1
78,78,Rapidash,,,,Fire,,5.583,1.7,209.4,95,32.9,1,65,100,70,80,80,105,500,,77,2
78,78.1,Rapidash,Galarian Rapidash,Regional,,Psychic,Fairy,5.583,1.7,176.4,80,27.7,8,65,100,70,80,80,105,500,,77.1,2
79,79,Slowpoke,,,,Water,Psychic,3.917,1.2,79.4,36,25,1,90,65,65,40,40,15,315,"80,199",80,1
79,79.1,Slowpoke,Galarian Slowpoke,Regional,,Psychic,,3.917,1.2,79.4,36,25,8,90,65,65,40,40,15,315,"80.2,199.1",80.1,1
80,80,Slowbro,,,,Water,Psychic,5.25,1.6,173.1,78.5,30.7,1,95,75,110,100,80,30,490,,80,2
80,80.1,Slowbro,Mega Slowbro,Mega,Mega,Water,Psychic,6.583,2,264.6,120,30,6,95,75,180,130,80,30,590,,80,2
80,80.2,Slowbro,Galarian Slowbro,Regional,,Poison,Psychic,5.25,1.6,155.4,70.5,27.5,8,95,100,95,100,70,30,490,,80.1,2
81,81,Magnemite,,,,Electric,Steel,1,0.3,13.2,6,66.7,1,25,35,70,95,55,45,325,82,81,1
82,82,Magneton,,,,Electric,Steel,3.25,1,132.3,60,60,1,50,60,95,120,70,70,465,462,81,2
83,83,Farfetch'd,,,,Normal,Flying,2.583,0.8,33.1,15,23.4,1,52,90,55,58,62,60,377,,,1
83,83.1,Farfetch'd,Galarian Farfetch'd,Regional,,Fighting,,2.583,0.8,92.6,42,65.6,8,52,95,55,58,62,55,377,865,83.1,1
84,84,Doduo,,,,Normal,Flying,4.583,1.4,86.4,39.2,20,1,35,85,45,35,35,75,310,85,84,1
85,85,Dodrio,,,,Normal,Flying,5.917,1.8,187.8,85.2,26.3,1,60,110,70,60,60,110,470,,84,2
86,86,Seel,,,,Water,,3.583,1.1,198.4,90,74.4,1,65,45,55,45,70,45,325,87,86,1
87,87,Dewgong,,,,Water,Ice,5.583,1.7,264.6,120,41.5,1,90,70,80,70,95,70,475,,86,2
88,88,Grimer,,,,Poison,,2.917,0.9,66.1,30,37,1,80,80,50,40,50,25,325,89,88,1
88,88.1,Grimer,Alolan Grimer,Regional,,Poison,Dark,2.333,0.7,92.6,42,85.7,7,80,80,50,40,50,25,325,89.1,88.1,1
89,89,Muk,,,,Poison,,3.917,1.2,66.1,30,20.8,1,105,105,75,65,100,50,500,,88,2
89,89.1,Muk,Alolan Muk,Regional,,Poison,Dark,3.25,1,114.6,52,52,7,105,105,75,65,100,50,500,,88.1,2
90,90,Shellder,,,,Water,,1,0.3,8.8,4,44.4,1,30,65,100,45,25,40,305,91,90,1
91,91,Cloyster,,,,Water,Ice,4.917,1.5,292.1,132.5,58.9,1,50,95,180,85,45,70,525,,90,2
92,92,Gastly,,,,Ghost,Poison,4.25,1.3,0.2,0.1,0.1,1,30,35,30,100,35,80,310,93,92,1
93,93,Haunter,,,,Ghost,Poison,5.25,1.6,0.2,0.1,0,1,45,50,45,115,55,95,405,94,92,2
94,94,Gengar,,,,Ghost,Poison,4.917,1.5,89.3,40.5,18,1,60,65,60,130,75,110,500,,92,3
94,94.1,Gengar,Mega Gengar,Mega,Mega,Ghost,Poison,4.583,1.4,89.3,40.5,20.7,6,60,65,80,170,95,130,600,,92,4
95,95,Onix,,,,Rock,Ground,28.833,8.8,463,210,2.7,1,35,45,160,30,45,70,385,208,95,1
96,96,Drowzee,,,,Psychic,,3.25,1,71.4,32.4,32.4,1,60,48,45,43,90,42,328,97,96,1
97,97,Hypno,,,,Psychic,,5.25,1.6,166.7,75.6,29.5,1,85,73,70,73,115,67,483,,96,2
98,98,Krabby,,,,Water,,1.333,0.4,14.3,6.5,40.6,1,30,105,90,25,25,50,325,99,98,1
99,99,Kingler,,,,Water,,4.25,1.3,132.3,60,35.5,1,55,130,115,50,50,75,475,,98,2
100,100,Voltorb,,,,Electric,,1.667,0.5,22.9,10.4,41.6,1,40,30,50,55,55,100,330,101,100,1
100,100.1,Voltorb,Hisuian Voltorb,Regional,,Electric,Grass,1.667,0.5,28.7,13,52,8,40,30,50,55,55,100,330,101.1,100.1,1
101,101,Electrode,,,,Electric,,3.917,1.2,146.8,66.6,46.3,1,60,50,70,80,80,150,490,,100,2
101,101.1,Electrode,Hisuian Electrode,Regional,,Electric,Grass,3.917,1.2,156.5,71,49.3,8,60,50,70,80,80,150,490,,100.1,2
102,102,Exeggcute,,,,Grass,Psychic,1.333,0.4,5.5,2.5,15.6,1,60,40,80,60,45,40,325,"103,103.1",102,1
103,103,Exeggutor,,,,Grass,Psychic,6.583,2,264.6,120,30,1,95,95,85,125,75,55,530,,102,2
103,103.1,Exeggutor,Alolan Exeggutor,Regional,,Grass,Dragon,35.75,10.9,916.2,415.6,3.5,7,95,105,85,125,75,45,530,,102,2
104,104,Cubone,,,,Ground,,1.333,0.4,14.3,6.5,40.6,1,50,50,95,40,50,35,320,"105,105.1",104,1
105,105,Marowak,,,,Ground,,3.25,1,99.2,45,45,1,60,80,110,50,80,45,425,,104,2
105,105.1,Marowak,Alolan Marowak,Regional,,Fire,Ghost,3.25,1,75,34,34,7,60,80,110,50,80,45,425,,104,2
106,106,Hitmonlee,,,,Fighting,,4.917,1.5,109.8,49.8,22.1,1,50,120,53,35,110,87,455,,106,2
107,107,Hitmonchan,,,,Fighting,,4.583,1.4,110.7,50.2,25.6,1,50,105,79,35,110,76,455,,106,2
108,108,Lickitung,,,,Normal,,3.917,1.2,144.4,65.5,45.5,1,90,55,75,60,75,30,385,463,108,1
109,109,Koffing,,,,Poison,,2,0.6,2.2,1,2.8,1,40,65,95,60,45,35,340,"110,110.1",109,1
110,110,Weezing,,,,Poison,,3.917,1.2,20.9,9.5,6.6,1,65,90,120,85,70,60,490,,109,2
110,110.1,Weezing,Galarian Weezing,Regional,,Poison,Fairy,9.833,3,35.3,16,1.8,8,65,90,120,85,70,60,490,,109,2
111,111,Rhyhorn,,,,Ground,Rock,3.25,1,253.5,115,115,1,80,85,95,30,30,25,345,112,111,1
112,112,Rhydon,,,,Ground,Rock,6.25,1.9,264.6,120,33.2,1,105,130,120,45,45,40,485,464,111,2
113,113,Chansey,,,,Normal,,3.583,1.1,76.3,34.6,28.6,1,250,5,5,35,105,50,450,242,113,2
114,114,Tangela,,,,Grass,,3.25,1,77.2,35,35,1,65,55,115,100,40,60,435,465,114,1
115,115,Kangaskhan,,,,Normal,,7.25,2.2,176.4,80,16.5,1,105,95,80,40,80,90,490,,115,1
115,115.1,Kangaskhan,Mega Kangaskhan,Mega,Mega,Normal,,7.25,2.2,220.5,100,20.7,6,105,125,100,60,100,100,590,,115,1
116,116,Horsea,,,,Water,,1.333,0.4,17.6,8,50,1,30,40,70,70,25,60,295,117,116,1
117,117,Seadra,,,,Water,,3.917,1.2,55.1,25,17.4,1,55,65,95,95,45,85,440,230,116,2
118,118,Goldeen,,,,Water,,2,0.6,33.1,15,41.7,1,45,67,60,35,50,63,320,119,118,1
119,119,Seaking,,,,Water,,4.25,1.3,86,39,23.1,1,80,92,65,65,80,68,450,,118,2
120,120,Staryu,,,,Water,,2.583,0.8,76.1,34.5,53.9,1,30,45,55,70,55,85,340,121,120,1
121,121,Starmie,,,,Water,Psychic,3.583,1.1,176.4,80,66.1,1,60,75,85,100,85,115,520,,120,2
122,122,Mr. Mime,,,,Psychic,Fairy,4.25,1.3,120.2,54.5,32.2,1,40,45,65,100,120,90,460,,,2
122,122.1,Mr. Mime,Galarian Mr. Mime,Regional,,Ice,Psychic,4.583,1.4,125.2,56.8,29,8,50,65,65,90,90,100,460,866,122.1,2
123,123,Scyther,,,,Bug,Flying,4.917,1.5,123.5,56,24.9,1,70,110,80,55,80,105,500,"212,900",123,1
124,124,Jynx,,,,Ice,Psychic,4.583,1.4,89.5,40.6,20.7,1,65,50,35,115,95,95,455,,124,2
125,125,Electabuzz,,,,Electric,,3.583,1.1,66.1,30,24.8,1,65,83,57,95,85,105,490,466,125,2
126,126,Magmar,,,,Fire,,4.25,1.3,98.1,44.5,26.3,1,65,95,57,100,85,93,495,467,126,2
127,127,Pinsir,,,,Bug,,4.917,1.5,121.3,55,24.4,1,65,125,100,55,70,85,500,,127,1
127,127.1,Pinsir,Mega Pinsir,Mega,Mega,Bug,Flying,5.583,1.7,130.1,59,20.4,6,65,155,120,65,90,105,600,,127,1
128,128,Tauros,,,,Normal,,4.583,1.4,194.9,88.4,45.1,1,75,100,95,40,70,110,490,,,1
128,128.1,Tauros,Combat Breed,Regional,,Fighting,,4.583,1.4,253.5,115,58.7,9,75,110,105,30,70,100,490,,,1
128,128.2,Tauros,Blaze Breed,Regional,,Fighting,Fire,4.583,1.4,187.4,85,43.4,9,75,110,105,30,70,100,490,,,1
128,128.3,Tauros,Aqua Breed,Regional,,Fighting,Water,4.583,1.4,242.5,110,56.1,9,75,110,105,30,70,100,490,,,1
129,129,Magikarp,,,,Water,,2.917,0.9,22,10,12.3,1,20,10,55,15,20,80,200,130,129,1
130,130,Gyarados,,,,Water,Flying,21.333,6.5,518.1,235,5.6,1,95,125,79,60,100,81,540,,129,2
130,130.1,Gyarados,Mega Gyarados,Mega,Mega,Water,Dark,21.333,6.5,672.4,305,7.2,6,95,155,109,70,130,81,640,,129,3
131,131,Lapras,,,,Water,Ice,8.167,2.5,485,220,35.2,1,130,85,80,85,95,60,535,,,1
132,132,Ditto,,,,Normal,,1,0.3,8.8,4,44.4,1,48,48,48,48,48,48,288,,,1
133,133,Eevee,,,,Normal,,1,0.3,14.3,6.5,72.2,1,55,55,50,45,65,55,325,"134,135,136,196,197,470,471,700",133,1
134,134,Vaporeon,,,,Water,,3.25,1,63.9,29,29,1,130,65,60,110,95,65,525,,133,2
135,135,Jolteon,,,,Electric,,2.583,0.8,54,24.5,38.3,1,65,65,60,110,95,130,525,,133,2
136,136,Flareon,,,,Fire,,2.917,0.9,55.1,25,30.9,1,65,130,60,95,110,65,525,,133,2
137,137,Porygon,,,,Normal,,2.583,0.8,80.5,36.5,57,1,65,60,70,85,75,40,395,233,232,1
138,138,Omanyte,,,,Rock,Water,1.333,0.4,16.5,7.5,46.9,1,35,40,100,90,55,35,355,139,138,1
139,139,Omastar,,,,Rock,Water,3.25,1,77.2,35,35,1,70,60,125,115,70,55,495,,138,2
140,140,Kabuto,,,,Rock,Water,1.667,0.5,25.4,11.5,46,1,30,80,90,55,45,55,355,141,140,1
141,141,Kabutops,,,,Rock,Water,4.25,1.3,89.3,40.5,24,1,60,115,105,65,70,80,495,,140,2
142,142,Aerodactyl,,,,Rock,Flying,5.917,1.8,130.1,59,18.2,1,80,105,65,60,75,130,515,,142,1
142,142.1,Aerodactyl,Mega Aerodactyl,Mega,Mega,Rock,Flying,6.917,2.1,174.2,79,17.9,6,80,135,85,70,95,150,615,,142,2
143,143,Snorlax,,,,Normal,,6.917,2.1,1014.1,460,104.3,1,160,110,65,65,110,30,540,,,2
144,144,Articuno,,,Sublegendary,Ice,Flying,5.583,1.7,122.1,55.4,19.2,1,90,85,100,95,125,85,580,,,1
144,144.1,Articuno,Galarian Articuno,Regional,Sublegendary,Psychic,Flying,5.583,1.7,112.2,50.9,17.6,8,90,85,85,125,100,95,580,,,1
145,145,Zapdos,,,Sublegendary,Electric,Flying,5.25,1.6,116,52.6,20.5,1,90,90,85,125,90,100,580,,,1
145,145.1,Zapdos,Galarian Zapdos,Regional,Sublegendary,Fighting,Flying,5.25,1.6,128.3,58.2,22.7,8,90,125,90,85,90,100,580,,,1
146,146,Moltres,,,Sublegendary,Fire,Flying,6.583,2,132.3,60,15,1,90,100,90,125,85,90,580,,,1
146,146.1,Moltres,Galarian Moltres,Regional,Sublegendary,Dark,Flying,6.583,2,145.5,66,16.5,8,90,85,90,100,125,90,580,,,1
147,147,Dratini,,,Pseudolegendary,Dragon,,5.917,1.8,7.3,3.3,1,1,41,64,45,50,50,50,300,148,147,1
148,148,Dragonair,,,Pseudolegendary,Dragon,,13.83,4,36.4,16.5,1,1,61,84,65,70,70,70,420,149,147,2
149,149,Dragonite,,,Pseudolegendary,Dragon,Flying,7.25,2.2,463,210,43.4,1,91,134,95,100,100,80,600,,147,3
150,150,Mewtwo,,,Legendary,Psychic,,6.583,2,269,122,30.5,1,106,110,90,154,90,130,680,,150,1
150,150.1,Mewtwo,Mega Mewtwo X,Mega,Mega,Psychic,Fighting,7.583,2.3,280,127,24,6,106,190,100,154,100,130,780,,150,2
150,150.2,Mewtwo,Mega Mewtwo Y,Mega,Mega,Psychic,,4.917,1.5,72.8,33,14.7,6,106,150,70,194,120,140,780,,150,2
151,151,Mew,,,Mythical,Psychic,,1.333,0.4,8.8,4,25,1,100,100,100,100,100,100,600,,,1
152,152,Chikorita,,,,Grass,,2.917,0.9,14.1,6.4,7.9,2,45,49,65,49,65,45,318,153,152,1
153,153,Bayleef,,,,Grass,,3.917,1.2,34.8,15.8,11,2,60,62,80,63,80,60,405,154,152,2
154,154,Meganium,,,,Grass,,5.917,1.8,221.6,100.5,31,2,80,82,100,83,100,80,525,,152,3
155,155,Cyndaquil,,,,Fire,,1.667,0.5,17.4,7.9,31.6,2,39,52,43,60,50,65,309,156,155,1
156,156,Quilava,,,,Fire,,2.917,0.9,41.9,19,23.5,2,58,64,58,80,65,80,405,"157,157.1",155,2
157,157,Typhlosion,,,,Fire,,5.583,1.7,175.3,79.5,27.5,2,78,84,78,109,85,100,534,,155,3
157,157.1,Typhlosion,Hisuian Typhlosion,Regional,,Fire,Ghost,5.25,1.6,153.9,69.8,27.3,8,73,84,78,119,85,95,534,,155,3
158,158,Totodile,,,,Water,,2,0.6,20.9,9.5,26.4,2,50,65,64,44,48,43,314,159,158,1
159,159,Croconaw,,,,Water,,3.583,1.1,55.1,25,20.7,2,65,80,80,59,63,58,405,160,158,2
160,160,Feraligatr,,,,Water,,7.583,2.3,195.8,88.8,16.8,2,85,105,100,79,83,78,530,,158,3
161,161,Sentret,,,,Normal,,2.583,0.8,13.2,6,9.4,2,35,46,34,35,45,20,215,162,161,1
162,162,Furret,,,,Normal,,5.917,1.8,71.7,32.5,10,2,85,76,64,45,55,90,415,,161,2
163,163,Hoothoot,,,,Normal,Flying,2.333,0.7,46.7,21.2,43.3,2,60,30,30,36,56,50,262,164,163,1
164,164,Noctowl,,,,Normal,Flying,5.25,1.6,89.9,40.8,15.9,2,100,50,50,86,96,70,452,,163,2
165,165,Ledyba,,,,Bug,Flying,3.25,1,23.8,10.8,10.8,2,40,20,30,40,80,55,265,166,165,1
166,166,Ledian,,,,Bug,Flying,4.583,1.4,78.5,35.6,18.2,2,55,35,50,55,110,85,390,,165,2
167,167,Spinarak,,,,Bug,Poison,1.667,0.5,18.7,8.5,34,2,40,60,40,40,40,30,250,168,167,1
